chapter,text
Chapter 2,CHAPTER II.
Chapter 2,IN WHICH PASSEPARTOUT IS CONVINCED THAT HE HAS AT LAST FOUND HIS IDEAL
Chapter 2,"“Faith,” muttered Passepartout, somewhat flurried, “I’ve seen people at"
Chapter 2,Madame Tussaud’s as lively as my new master!”
Chapter 2,"Madame Tussaud’s “people,” let it be said, are of wax, and are much"
Chapter 2,visited in London; speech is all that is wanting to make them human.
Chapter 2,"During his brief interview with Mr. Fogg, Passepartout had been"
Chapter 2,carefully observing him. He appeared to be a man about forty years of
Chapter 2,"age, with fine, handsome features, and a tall, well-shaped figure; his"
Chapter 2,"hair and whiskers were light, his forehead compact and unwrinkled, his"
Chapter 2,"face rather pale, his teeth magnificent. His countenance possessed in"
Chapter 2,"the highest degree what physiognomists call “repose in action,” a"
Chapter 2,"quality of those who act rather than talk. Calm and phlegmatic, with a"
Chapter 2,"clear eye, Mr. Fogg seemed a perfect type of that English composure"
Chapter 2,which Angelica Kauffmann has so skilfully represented on canvas. Seen
Chapter 2,"in the various phases of his daily life, he gave the idea of being"
Chapter 2,"perfectly well-balanced, as exactly regulated as a Leroy chronometer."
Chapter 2,"Phileas Fogg was, indeed, exactitude personified, and this was betrayed"
Chapter 2,"even in the expression of his very hands and feet; for in men, as well"
Chapter 2,"as in animals, the limbs themselves are expressive of the passions."
Chapter 2,"He was so exact that he was never in a hurry, was always ready, and was"
Chapter 2,economical alike of his steps and his motions. He never took one step
Chapter 2,"too many, and always went to his destination by the shortest cut; he"
Chapter 2,"made no superfluous gestures, and was never seen to be moved or"
Chapter 2,"agitated. He was the most deliberate person in the world, yet always"
Chapter 2,reached his destination at the exact moment.
Chapter 2,"He lived alone, and, so to speak, outside of every social relation; and"
Chapter 2,"as he knew that in this world account must be taken of friction, and"
Chapter 2,"that friction retards, he never rubbed against anybody."
Chapter 2,"As for Passepartout, he was a true Parisian of Paris. Since he had"
Chapter 2,"abandoned his own country for England, taking service as a valet, he"
Chapter 2,had in vain searched for a master after his own heart. Passepartout was
Chapter 2,by no means one of those pert dunces depicted by Molière with a bold
Chapter 2,"gaze and a nose held high in the air; he was an honest fellow, with a"
Chapter 2,"pleasant face, lips a trifle protruding, soft-mannered and serviceable,"
Chapter 2,"with a good round head, such as one likes to see on the shoulders of a"
Chapter 2,"friend. His eyes were blue, his complexion rubicund, his figure almost"
Chapter 2,"portly and well-built, his body muscular, and his physical powers fully"
Chapter 2,developed by the exercises of his younger days. His brown hair was
Chapter 2,"somewhat tumbled; for, while the ancient sculptors are said to have"
Chapter 2,"known eighteen methods of arranging Minerva’s tresses, Passepartout was"
Chapter 2,familiar with but one of dressing his own: three strokes of a
Chapter 2,large-tooth comb completed his toilet.
Chapter 2,It would be rash to predict how Passepartout’s lively nature would
Chapter 2,agree with Mr. Fogg. It was impossible to tell whether the new servant
Chapter 2,would turn out as absolutely methodical as his master required;
Chapter 2,experience alone could solve the question. Passepartout had been a sort
Chapter 2,"of vagrant in his early years, and now yearned for repose; but so far"
Chapter 2,"he had failed to find it, though he had already served in ten English"
Chapter 2,"houses. But he could not take root in any of these; with chagrin, he"
Chapter 2,"found his masters invariably whimsical and irregular, constantly"
Chapter 2,"running about the country, or on the look-out for adventure. His last"
Chapter 2,"master, young Lord Longferry, Member of Parliament, after passing his"
Chapter 2,"nights in the Haymarket taverns, was too often brought home in the"
Chapter 2,"morning on policemen’s shoulders. Passepartout, desirous of respecting"
Chapter 2,"the gentleman whom he served, ventured a mild remonstrance on such"
Chapter 2,"conduct; which, being ill-received, he took his leave. Hearing that Mr."
Chapter 2,"Phileas Fogg was looking for a servant, and that his life was one of"
Chapter 2,"unbroken regularity, that he neither travelled nor stayed from home"
Chapter 2,"overnight, he felt sure that this would be the place he was after. He"
Chapter 2,"presented himself, and was accepted, as has been seen."
Chapter 2,"At half-past eleven, then, Passepartout found himself alone in the"
Chapter 2,"house in Saville Row. He began its inspection without delay, scouring"
Chapter 2,"it from cellar to garret. So clean, well-arranged, solemn a mansion"
Chapter 2,"pleased him; it seemed to him like a snail’s shell, lighted and warmed"
Chapter 2,"by gas, which sufficed for both these purposes. When Passepartout"
Chapter 2,reached the second story he recognised at once the room which he was to
Chapter 2,"inhabit, and he was well satisfied with it. Electric bells and"
Chapter 2,speaking-tubes afforded communication with the lower stories; while on
